id_bo	title	ref_txt	kw_list	eor
J16343465231	Side-by-Side Comparison of Single- and Dual-Active Layer Oxide TFTs: Experiment and TCAD Simulation	Single-active layer (SAL) and dual-active layer (DAL) oxide thin-film transistors (TFTs) are fabricated using the same process conditions and compared side by side. The SAL channel consists of amorphous In-Ga-Zn-O (a-IGZO), and the DAL of ultrathin In-Sn-O and a-IGZO. The DAL TFT exhibits strongly improved performance compared to the SAL TFT such as higher mobility of 31 cm{2}~xV{-1}~xs{-1}, smaller subthreshold swing of 175 mV/dec, and better positive bias temperature stress stability. Technology computeraided design simulation is used to investigate the SAL and DAL device performance. A mapping technique is used to directly correlate the transfer characteristics to the subbandgap density of states. The simulation suggests that the improved performance of the DAL TFT is due to an improved gate insulator/channel interface with an approximately one order of magnitude lower interface trap density	 amorphous semiconductors; indium compounds; semiconductor device manufacture; semiconductor device models; technology CAD (electronics); thin film transistors; DAL TFT; InGaZnO; InSnO; SAL TFT; TCAD simulation; dual-active layer oxide TFT; gate.	###
J16136850253	Ratiometric Fluorescence Detection of Anthrax Biomarker with Eu{III}-EDTA Functionalized Mixed Poly(diacetylene) Liposomes	Anthrax, a bacteriogenic fatal infectious disease that is harmful to humans, requires the early and ready detection of its bacterial endospores. We report herein the use of poly(diacetylene acid) derived liposomes functionalized with Eu{III}-EDTA complexes as a ratiometric fluorescence detection system for dipicolinate, an anthrax biomarker and major component of the endospores. The red fluorescence of the polymerized liposomes provides a built-in reference signal to monitor the relative change of the europium luminescence sensitized by the bound dipicolinate relative to the reference liposome emission. The liposome-based integrated sensing system shows reasonable sensitivity as well as remarkable selectivity toward dipicolinate over other structurally related analytes. Paper strip sensors based on the polymerized liposomes are also prepared for the visible detection of dipicolinate.	 biomarker; fluorescence; lanthanides; liposomes; sensors.	###
J16769381121	Predicting the volumes of crystals	New crystal structures are frequently derived by performing ionic substitutions on known crystal structures. These derived structures are then used in further experimental analysis, or as the initial guess for structural optimization in electronic structure calculations, both of which usually require a reasonable guess of the lattice parameters. In this work, we propose two lattice prediction schemes to improve the initial guess of a candidate crystal structure. The first scheme relies on a one-to-one mapping of species in the candidate crystal structure to a known crystal structure, while the second scheme relies on data-mined minimum atom pair distances to predict the crystal volume of the candidate crystal structure and does not require a reference structure. We demonstrate that the two schemes can effectively predict the volumes within mean absolute errors (MAE) as low as 3.8% and 8.2%. We also discuss the various factors that may impact the performance of the schemes. Implementations for both schemes are available in the open-source pymatgen software.	 Crystal volume; Lattice prediction; Data mining; Structural optimization; Ionic.	###
J1568725X205	A novel approach to explore organochalcogen chemistry of tellurium based receptor for selective determination of silver ions in aqueous medium	Abstract In due consideration of the growing importance of chemical sensors for the detection and quantification of toxic heavy metal ions to counter water pollution, a novel class of tellurium-based organic receptors has been investigated as a potentially sensitive and selective silver-ion probe in the present work. The new tellurium-incorporated Schiff base ligand (R1) was chemically synthesized and characterized using various spectroscopic techniques. Upon an exposure of organic nanoparticles (N1) of the title receptor ligand (R1) to a pool of select heavy metal ions, the former displayed high sensitivity and selectivity towards silver ions, in aqueous medium, with a detection limit of 2.34 nM. Interestingly, the presence of metal ions bearing close physico-chemical resemblance to silver exerted negligible interference in the ultra-sensitive detection of silver ions by the title probe N1. Furthermore, the precision and accuracy of the potential silver-ion sensor (N1) in aqueous medium was established across a wide pH range as well as under saline conditions. The analytical utility of this potential silver-ion probe R1 was further investigated for real sample analysis of objects of environmental applicability. The results of the same were authenticated by using atomic absorption spectroscopy. In summary, an investigation into the utility of a new class of tellurium-based organic receptors as potential metal-ion sensors opens a new avenue into the rather poorly-comprehended environmental relevance of organotellurium chemistry.	 Tridentate; Fluorescent; Sensor; Metal recognition; Aqueous.	###
J1757827X312	Freeze-thaw effect on the durability of binary cements containing activated coal-mining waste	The present work contains an approach to the evaluation of binary cements prepared with a 20% substitution of coal-mining waste and their behaviour under a maximum of 300 freeze/thaw cycles. Mineralogical studies are conducted, as well as tests on mass variations, compressive strength, microporosity, the dynamic modulus of elasticity, and SEM morphologies. It is important to highlight that the partial replacement of cement by 20% of activated coal waste, does not affect the durability against freeze/thaw cycles, since they show a fairly similar tendency to the reference mortar under extreme temperature changes.	 Coal waste; Binary cement; Reaction kinetics; Freeze/thaw; Properties;.	###
J15730236332	Back Cover: Metal-Organic Framework Supported on Processable Polymer Matrix by In Situ Copolymerization for Enhanced Iron(III) Detection (Chem. Eur. J. 16/2017)	The in situ copolymerization strategy was developed to integrate a mesoporous metal-organic framework (MOF) material with pre-designed active groups into the organic polymer matrix. The targeting MOF polymer composite is transparent, elastic, and processable with desired shape and thickness, which also shows an enhanced capability for Fe{III} ion detection due to the synergistic effect of composite with the newly formed bonding between MOF particle and polymer matrix. More information can be found in the Full Paper by S.-M. Fang, M. Du et al. on page 3885 ff.	 copolymerization; iron; metal-organic frameworks; organic-inorganic hybrid composites;.	###
J15889383201	The effects of pharmaceuticals on a unionid mussel (Lampsilis siliquoidea): An examination of acute and chronic endpoints of toxicity across life stages	The toxicity and bioconcentration of 3 pharmaceuticals (amitriptyline, iopamidol, and sertraline) were examined using multiple life stages (larval, juvenile, and adult) of the unionid mussel Lampsilis siliquoidea. The endpoints examined varied with life stage but included survival, behavior (algal clearance rate, filtering frequency), and oxidative stress. Iopamidol was not toxic at concentrations up to 101mg/L. Sertraline was the most toxic chemical (50% lethal concentrations _(LC50_) and effect concentrations _(EC50_)=0.02-0.04mg/L), but exposure did not induce oxidative stress. Glochidia and juveniles were more sensitive than adult mussels. Algal clearance rate in juvenile mussels was the most sensitive endpoint assessed, similar to or lower than the LC50 values for glochidia. However, the compounds examined were not toxic at concentrations detected in the environment. The relative bioconcentration factors were sertraline>amitriptyline>iopamidol. These results suggest that glochidia toxicity could be a screening tool for rapidly assessing the toxicity of chemicals of concern to freshwater mussels. Environ Toxicol Chem 2017;36:1572-1583. 2016 SETAC	 Amitriptyline; Bioconcentration; Iopamidol; Sertraline; Pharmaceuticals; Freshwater.	###
J16997791189	Anti-allergic inflammatory components from Sanguisorba officinalis L.	Sanguisorba officinalis L. was well known as a traditional herbal medicine to treat inflammation and allergic skin diseases. The aim of this research was to indentify compounds with anti-allergic inflammatory property. Twenty-five compounds (1-25) were isolated from S. officinalis including two new compounds (1 and 8), and their chemical structures were identified by NMR and ESIMS analysis. Consequently, the anti-allergic inflammatory activities of these isolates were investigated by inhibiting _b-hexosaminidase and IL-4 production in PMA/A23187-stimulated RBL-2H3 cells. Compounds 6, 8, 13, 17-18 and 25 significantly inhibited _b-hexosaminidase release and IL-4 production. Additionally, compounds 8, 17 and 25 effectively suppressed the activation of NF-_kB and NF-_kB p65 translocation into the nucleus. Anti-inflammatory effects of isolated compounds were evaluated in LPS-stimulated RAW264.7 macrophages, and they showed dramatic inhibition on LPS-induced overproduction of nitric oxide (NO) and TNF-_a. Consistently, the protein levels of iNOS and COX-2 were remarkably decreased by the single compounds 8, 13 and 25. These results showed that compounds 8, 13 and 25 from S. officinalis may have a therapeutic potential for allergic inflammatory diseases.	  L.; Rosaceae; Anti-allergic inflammatory; NF-_kB; iNOS and.	###
J17932464435	Module integration in an adsorption cooling system	A numerical analysis was conducted to estimate the system performance of an adsorption cooling chiller composed of multi-modules. Each module was composed of multi-tubes and each tube was composed of hundreds of fins. To accurately estimate system performance, a new approach was suggested, involving a full scale analysis of one tube. Also an examination of system integration depending on the arrangement of the modules was conducted. Two factors, i.e., (i) temperature drop in the serial arrangement and (ii) reduced flow rate in the parallel arrangement, compete, and ultimately a combined serial-parallel arrangement gives the highest overall system performance. The obtained system performance of COP and SCP were much lower than those modeled with one fin pitch space, the method normally used in previous studies, whose results always over-estimated the system performance compared to experiments.	 Adsorption chiller; System integration; Module arrangement; System.	###
J15840848316	Bioaugmentation with bacteria selected from the microbiome enhances Arthrocnemum macrostachyum metal accumulation and tolerance	Abstract A glasshouse experiment was designed to investigate the role of bacterial consortia isolated from the endosphere (CE) and rhizosphere (CR) of Arthrocnemum macrostachyum on its metal uptake capacity and tolerance in plants grown in metal polluted sediments. A. macrostachyum plants were randomly assigned to three bioaugmentation treatments (CE, CR and without inoculation) during 120 days. Bioaugmentation with both bacterial consortia enhanced A. macrostachyum capacity to accumulate ions in its roots, while shoot ions concentration only increased with CE treatment. Furthermore bioaugmentation ameliorated the phytotoxicity levels, which was reflected in an increment of plant growth of 59 and 113% for shoots and 52 and 98% for roots with CE and CR treatments, respectively. This effect was supported by bacteria beneficial effect on photochemical apparatus and the modulation of its oxidative stress machinery. These findings indicated that bacteria selected from the microbiome can be claimed to improve A. macrostachyum metal remediation efficiency.	 Arthrocnemum macrostachyum; Endophytic bacteria; Metal pollution; PGPB; Phytoremediation; Rhizospheric.	###
J16289649139	Laboratory tests for permeability of sand during liquefaction	The permeability is a very important property affecting drainage, pore pressure buildup and dissipation, and ground settlement for saturated sand during and after seismically induced liquefaction. A laboratory experiment was developed to conduct tests for evaluating the water movements and permeability in a sand column before, during and after liquefaction. The excess pore water pressures at various depths within the sand specimen, hydraulic gradients, and water flow rates were recorded continuously throughout the tests. The permeability of the sand specimen during the process of liquefaction was calculated from these measurements. Results showed that the permeability of fine Vietnam sand during liquefaction was about 4-5 times the initial value before liquefaction, while it reduced to 0.9-0.97 times the initial value after complete dissipation of the excess pore pressures depending on the density of sand. The permeability of sand during excess pore pressure dissipation after liquefaction was also evaluated.	 Permeability; Sand; Liquefaction; Laboratory test; Pore.	###
J17210930260	Power System Compensation Using a Power-Electronics Integrated Transformer	This paper presents a new transformer, that is, the custom power active transformer (CPAT)-which integrates shunt and series equivalent circuits within the transformer's magnetic structure. Thus, it provides power system services using a single transformer. The CPAT equipped with a power converter can be utilized in distribution systems to control grid current and load-voltage waveforms while operating as a step-up or step-down transformer between the grid and load. Moreover, it can provide other services that any typical shunt-series compensation arrangement provides. The design and analysis of a single-phase CPAT are presented, showing the effect of coupling between windings and transformer parameters affecting CPAT operation. In this paper, control of the CPAT in a unified power-quality controller application is investigated to attenuate grid-current and load-voltage harmonics as well as compensate for reactive power requirements and mitigate grid inrush current. Through simulation and experimental implementation, the merits and performance of the CPAT were validated	 compensation; electric current control; power convertors; power distribution control; power grids; power supply quality; power system harmonics; power transformers; voltage control; series equivalent circuits; power system services; power converter;.	###
J1727791150	Multiple remote tower for Single European Sky: The evolution from initial operational concept to regulatory approved implementation	The European Union project of Single European Sky initiated a reorganization of European airspace and proposed additional measures for air traffic management to achieve the key objectives of improving efficiency and capacity while at the same time enhancing safety. The concept of multiple remote tower operation is that air traffic controllers (ATCOs) can control several airfields from a distant virtual control centre. The control of multiple airfields can be centralised to a virtual centre permitting the more efficient use of ATCO resources. This research was sponsored by the Single European Sky ATM Research Program and the ATM Operations Division of the Irish Aviation Authority. A safety case was developed for migration of multiple remote tower services to live operations. This research conducted 50 large scale demonstration trials of remote tower operations from single tower operations to multiple tower operations for safety assessment by air navigation safety regulators in 2016. A dedicated team of air traffic controllers and technology experts successfully completed the safety assessment of multiple remote tower operations in real time. The implementation of this innovative technology requires a careful balance between cost-efficiency and the safety of the air traffic control in terms of capacity and human performance. The live trial exercises demonstrated that the air traffic services provided by the remote tower for a single airport and two medium airports by a single ATCO with 'in sequence' and 'simultaneous' aircraft operation was at least as safe as provided by the local towers at Cork and Shannon aerodromes. No safety occurrence was reported nor did any operational safety issue arise during the conduct of the fifty live trial exercises.	 Air traffic control; Cost efficiency; Human performance; Multiple remote tower operations; Safety assessment; Single European.	###
J16259499422	Solvatochromic benzo_(h_) coumarins: Synthesis, solvatochromism, NLO and DFT study	Three benzo_(h_) coumarins were synthesized and analyzed for their potential NLOphoric properties. Coumarins were synthesized using Knoevenagel condensation method by reacting hydroxyl-naphthalene aldehyde with cyano-methylelene-benzazoles containing NH, O and S elements respectively as the active methylene compounds. The absorption maxima for the coumarins are not affected by the solvent polarity but emission maxima does. Emission solvatochromism was analyzed using various solvent polarity functions which highlights the polarity dependency of the emission profile. Coumarins showed satisfactory values for first and second hyperpolarizability which are comparable using solvatochromism and DFT. NLO properties are also compared with the limits of hyperpolarizability calculated using sum rule of quantum mechanics. Results show that the NLO properties predicted by DFT are close to the upper limits of hyperpolarizability. The functional CAM-B3LYP is proven to be suitable for predicting NLO properties for these coumarins compared to functional B3LYP. The present study highlights the importance of such molecules for incorporating in advanced NLOphores.	 Benzocoumarins; Solvatochromism; DFT; TDDFT; Hyperpolarizability; Limits of.	###
J16226639349	Compositional design of Fe-based multi-component bulk metallic glass based on CALPHAD method	A quantificational composition design protocol (CDP) of Fe-based bulk metallic glasses (BMGs) with excellent glass-forming ability (GFA) has been proposed on the basis of the thermodynamic calculations. The stability of liquid and the crystallization of solids were both evaluated from the perspective of atomic structure and local composition. The present protocol successfully associates the stability of liquid to the melting point of alloy and the difficulty of crystallization by considering the type and competition of potential equilibrated phases. Specifically, this protocol provided the selection criteria of phases and elements from the viewpoint of structure and composition fluctuations during nucleation for each phase, whose accuracy and effectiveness were experimentally verified.	 Bulk metallic glasses; Composition design protocol; Potential crystalline phases; Phase.	###
J17544014114	Thorium distribution in the crust: Outcrop and grain-scale perspectives	The spatial distribution of heat producing elements (K, U, and Th) in the continental crust has long-term implications for the thermal and physical evolution of orogens. Heat producing elements, in particular Th, are most abundant in metasedimentary rock types. As such, these rock types have a significant control on the spatial distribution of heat production in the crust. The major host of the heat producing element thorium in pelitic metasedimentary rocks is the REE-Th phosphate monazite. We present in-field gamma ray spectrometry (in-field GRS) data integrated with grain-scale electron probe microanalysis data to reveal grain to terrane scale links in thorium distribution. In-field GRS data shows that thorium is not depleted in granulite facies residual rocks that have lost melt with respect to their subsolidus counterparts. Concurrently, the bulk thorium budget of monazite is approximately uniform within samples and if anything increases with increasing metamorphic grade. Monazite average grain size increases with metamorphic grade and prograde cores are largely preserved in granulite facies samples. Thorium is preserved in residual metasediments after melting and melt loss implying that even when melting and melt extraction is efficient it does not strip Th from granulite facies rocks.	 Mt. Stafford; Monazite chemistry; gamma-Ray spectrometry; Electron probe microanalysis.	###
J1594812683	Platinum-group mineralization at the margin of the Skaergaard intrusion, East Greenland	Two occurrences of platinum-group elements (PGEs) along the northern margin of the Skaergaard intrusion include a sulfide-bearing gabbro with slightly less than 1 ppm PGE + Au and a clinopyroxene-actinolite-plagioclase-biotite-ilmenite schist with 16 vol% sulfide and 1.8 ppm PGE + Au. Both have assemblages of pyrrhotite, pentlandite, and chalcopyrite typical for orthomagmatic sulfides. Matching platinum-group mineral assemblages with sperrylite (PtAs[2]), kotulskite (Pd(Bi,Te)[1-2]), froodite (PdBi[2]), michenerite (PdBiTe), and electrum (Au,Ag) suggest a common origin. Petrological and geochemical similarities suggest that the occurrences are related to the Skaergaard intrusion. The Marginal Border Series locally displays Ni depletion consistent with sulfide fractionation, and the PGE fractionation trends of the occurrences are systematically enriched by 10-50 times over the chilled margin. The PGE can be explained by sulfide-silicate immiscibility in the Skaergaard magma with R factors of 110-220. Nickel depletion in olivine suggests that the process occurred within the host cumulate, and the low R factors require little sulfide mobility. The sulfide assemblages are different to the chalcopyrite-bornite-digenite assemblage found in the Skaergaard Layered Series and Platinova Reef. These differences can be explained by the early formation of sulfide melt, while magmatic differentiation or sulfur loss caused the unusual sulfide assemblage within the Layered Series. The PGEs indicate that the sulfides formed from the Skaergaard magma. The sulfides and PGEs could not have formed from the nearby Watkins Fjord wehrlite intrusion, which is nearly barren in sulfide. We suggest that silicate-sulfide immiscibility led to PGE concentration where the Skaergaard magma became contaminated with material from the Archean basement.	 Skaergaard intrusion, Platinum-group elements, Greenland.	###
J16238769315	Experimental study on co-pyrolysis and gasification of biomass with deoiled asphalt	The behavior of co-pyrolysis and gasification of biomass and deoiled asphalt (DOA) was investigated. The co-pyrolysis of three biomasses and DOA reflected no obvious synergetic effect on the char yield, but the char's graphite degree reduced greatly. For the DOA was melted and stuck to the biomass surface during pyrolysis, the co-pyrolysis char showed an obvious agglomeration. The gasification rate of the co-pyrolysis chars was greatly increased by the addition of biomass, and the gasification curve were much similar to that of a homogenous char, indicating the blends were quite uniform and the alkali and alkaline earth metals in biomass could catalyze DOA gasification greatly. Sunflower stalk which has the highest potassium content and mineral content promoted the gasification rate best. Kinetic analysis showed that the average E values of the co-pyrolysis chars increased compared with the pure biomass char. The co-gasification of DOA and biomass is a good choice for disposing DOA.	 Deoiled asphalt; Biomass; Co-pyrolysis/gasification; Catalytic.	###
J16572510170	Influence of crystallinity of as-deposited Ge film on formation of quantum dot in carbon-mediated solid-phase epitaxy	The influence of crystallinity of as-deposited Ge films on Ge quantum dot (QD) formation via carbon (C)-mediated solid-phase epitaxy (SPE) was investigated. The samples were fabricated by solid-source molecular beam epitaxy (MBE). Ge/C/Si structure was formed by sequential deposition of C and Ge at deposition temperature (T[D]) of 150-400_0C, and it was heat-treated in the MBE chamber at 650_0C. In the case of amorphous or a mixture of amorphous and nano-crystalline Ge film grown for T[D] _<250_0C, density of QDs increased with increasing T[D] due to the increase of C-Ge bonds in Ge layer. Ge QDs with diameter of 9.2_+2.1 nm were formed in the highest density of 8.3_*10{11} cm{_-2} for T[D] =250_0C. On the contrary, in the case of polycrystalline Ge film for T[D] _>300_0C, density of QDs decreased slightly. This is because C incorporation into Ge layer during SPE was suppressed due to the as-crystallized columnar grains. These results suggest that as-deposited Ge film in a mixture of amorphous and nano-crystalline state is suitable to form small and dense Ge QDs via C-mediated SPE.	 Germanium; Quantum dot; Carbon; Silicon; Solid-phase epitaxy; Molecular beam epitaxy.	###
J14968158382	Carbon nanohorns based counter electrodes developed by spray method for dye sensitized solar cells	The manuscript presents an analysis of the single wall carbon nanohorns (SWCNH) and graphene nanoplatelets (GNP) decorated counter electrodes for Dye Sensitized Solar Cells (DSSCs) application. The systematic catalytic activity and electrochemical performance of the SWCNH and GNP are also studied. SWCNH loaded DSSC showed higher photovoltaic conversion efficiency (4.09%) than the GNP (3.13%) which is attributed to higher average surface roughness area, lower series, charge transfer resistance and electrolyte diffusion impedance values. In addition, the conversion efficiencies increase with higher load of SWCNH up to 3.0 mg. Therefore, the SWCNH material has great potential for application as low-cost counter electrode material for reduction of iodide/tri-iodide redox couple in dye sensitized solar cells.	 Carbon nanohorns; Dye sensitized solar cell; Electrochemical impedance spectroscopic studies; Pt-free counter.	###
J1756333718	A new algorithm of links labelling for the isomorphism detection of various kinematic chains using binary code	Isomorphism of kinematic chains (KCs) has always been a critical issue for the researchers dealing with structural synthesis. Consequently, many researchers of repute presented various methods during the last eight decades for the KCs with either simple and/or multiple joints. Binary code is one of such various methods, but the major problem lies in the algorithm of links labelling, which becomes cumbersome, in particular, for large KCs. The paper presents a simple algorithm of links labelling used to find out a binary sequence which, in turn, provides a maximum binary code (chain invariant). The algorithm is tested for six, seven, eight, nine, ten, eleven, twelve and fifteen links with simple joints, seven and eight links KCs with multiple joints and finally, the Epicyclic gear trains (EGTs) with four, five and six links for its efficiency and reliability. The results are in full agreement with the references taken for the purpose. The paper discusses, in a unique way, the decoding of the binary codes of different KCs also.	 Algorithm; Binary sequence; Binary code; Isomorphism detection; Links labelling; Structural.	###
